,player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
0,Aaron Judge,0.5526315789473685,0.2631578947368421,0.13157894736842105,0.02631578947368421
1,Adam Frazier,0.26666666666666666,0.03333333333333333,0.0,0.0
2,Addison Barger,0.36363636363636365,0.09090909090909091,0.0,0.0
3,Adley Rutschman,0.24390243902439024,0.04878048780487805,0.0,0.0
4,Adolis Garcia,0.3488372093023256,0.16279069767441862,0.06976744186046512,0.0
5,Alec Bohm,0.34375,0.125,0.03125,0.0
6,Alec Burleson,0.27906976744186046,0.046511627906976744,0.0,0.0
7,Alejandro Kirk,0.39285714285714285,0.14285714285714285,0.07142857142857142,0.0
8,Alek Thomas,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456
9,Alex Bregman,0.44680851063829785,0.2127659574468085,0.14893617021276595,0.0
10,Alex Verdugo,0.24,0.08,0.0,0.0
11,Andres Gimenez,0.2962962962962963,0.0,0.0,0.0
12,Andrew Benintendi,0.4444444444444444,0.18518518518518517,0.1111111111111111,0.037037037037037035
13,Andrew McCutchen,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.0
14,Andy Pages,0.2857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857
15,Anthony Santander,0.42424242424242425,0.2727272727272727,0.12121212121212122,0.030303030303030304
16,Anthony Volpe,0.4583333333333333,0.22916666666666666,0.08333333333333333,0.0
17,Austin Slater,0.10526315789473684,0.0,0.0,0.0
18,Austin Wells,0.5,0.11764705882352941,0.08823529411764706,0.029411764705882353
19,Ben Rortvedt,0.10526315789473684,0.0,0.0,0.0
20,Bo Bichette,0.5625,0.0625,0.0,0.0
21,Bo Naylor,0.18421052631578946,0.02631578947368421,0.0,0.0
22,Bobby Witt Jr.,0.4782608695652174,0.13043478260869565,0.08695652173913043,0.021739130434782608
23,Brandon Drury,0.10526315789473684,0.05263157894736842,0.0,0.0
24,Brandon Lowe,0.42105263157894735,0.21052631578947367,0.05263157894736842,0.0
25,Brandon Nimmo,0.3958333333333333,0.16666666666666666,0.0625,0.041666666666666664
26,Brendan Donovan,0.37777777777777777,0.1111111111111111,0.022222222222222223,0.0
