,player,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
0,Aaron Judge,0.475,0.25,0.175,0.05
1,Adam Frazier,0.125,0.0,0.0,0.0
2,Addison Barger,0.2,0.13333333333333333,0.0,0.0
3,Adley Rutschman,0.17142857142857143,0.08571428571428572,0.02857142857142857,0.0
4,Adolis Garcia,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.0
5,Alec Bohm,0.2682926829268293,0.0975609756097561,0.07317073170731707,0.024390243902439025
6,Alec Burleson,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0
7,Alejandro Kirk,0.3103448275862069,0.06896551724137931,0.0,0.0
8,Alek Thomas,0.2222222222222222,0.1111111111111111,0.0,0.0
9,Alex Bregman,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.06451612903225806
10,Alex Verdugo,0.13043478260869565,0.043478260869565216,0.0,0.0
11,Andres Gimenez,0.1724137931034483,0.06896551724137931,0.017241379310344827,0.0
12,Andrew Benintendi,0.2682926829268293,0.0975609756097561,0.024390243902439025,0.0
13,Andrew McCutchen,0.3333333333333333,0.07692307692307693,0.05128205128205128,0.02564102564102564
14,Andy Pages,0.26666666666666666,0.16666666666666666,0.03333333333333333,0.03333333333333333
15,Anthony Santander,0.25,0.041666666666666664,0.020833333333333332,0.020833333333333332
16,Anthony Volpe,0.14705882352941177,0.058823529411764705,0.029411764705882353,0.0
17,Austin Slater,0.09523809523809523,0.047619047619047616,0.0,0.0
18,Austin Wells,0.4411764705882353,0.11764705882352941,0.08823529411764706,0.029411764705882353
19,Ben Rortvedt,0.041666666666666664,0.041666666666666664,0.0,0.0
20,Bo Bichette,0.35,0.1,0.1,0.0
21,Bo Naylor,0.1794871794871795,0.05128205128205128,0.05128205128205128,0.0
22,Bobby Witt Jr.,0.40625,0.0625,0.03125,0.03125
23,Brandon Drury,0.08695652173913043,0.043478260869565216,0.0,0.0
24,Brandon Lowe,0.35135135135135137,0.05405405405405406,0.0,0.0
25,Brandon Nimmo,0.25,0.125,0.125,0.0
26,Brendan Donovan,0.2894736842105263,0.10526315789473684,0.07894736842105263,0.0
