team,Rank
Houston Astros,1
Cincinnati Reds,2
Detroit Tigers,3
New York Mets,4
San Diego Padres,5
Los Angeles Dodgers,6
Tampa Bay Rays,7
New York Yankees,8
Chicago White Sox,9
Toronto Blue Jays,10
Kansas City Royals,11
Arizona Diamondbacks,12
San Francisco Giants,13
Philadelphia Phillies,14
Texas Rangers,15
Milwaukee Brewers,16
Los Angeles Angels,17
Seattle Mariners,18
Atlanta Braves,19
Miami Marlins,20
St. Louis Cardinals,21
Baltimore Orioles,22
Pittsburgh Pirates,23
Chicago Cubs,24
Minnesota Twins,25
Cleveland Guardians,26
Washington Nationals,27
Athletics,28
Boston Red Sox,29
Colorado Rockies,30
