,player,1_hit_rate_over,2_hit_rate_over
0,Aaron Judge,0.8421052631578947,0.42105263157894735
1,Adam Frazier,0.4782608695652174,0.08695652173913043
2,Addison Barger,0.625,0.125
3,Adley Rutschman,0.6153846153846154,0.10256410256410256
4,Adolis Garcia,0.7021276595744681,0.2127659574468085
5,Alec Bohm,0.75,0.2857142857142857
6,Alec Burleson,0.6774193548387096,0.1935483870967742
7,Alejandro Kirk,0.7,0.3333333333333333
8,Alex Bregman,0.8181818181818182,0.45454545454545453
9,Alex Verdugo,0.5769230769230769,0.15384615384615385
10,Andres Gimenez,0.696969696969697,0.36363636363636365
11,Andrew McCutchen,0.6923076923076923,0.19230769230769232
12,Andy Pages,0.631578947368421,0.23684210526315788
13,Anthony Santander,0.75,0.275
14,Anthony Volpe,0.6578947368421053,0.23684210526315788
15,Austin Riley,0.7368421052631579,0.3684210526315789
16,Austin Slater,0.5384615384615384,0.0
17,Austin Wells,0.6875,0.3125
18,Ben Rice,0.625,0.125
19,Ben Rortvedt,0.3125,0.0625
20,Blake Perkins,0.5,0.2
21,Bo Bichette,0.75,0.5
22,Bo Naylor,0.5172413793103449,0.10344827586206896
23,Brandon Drury,0.6470588235294118,0.11764705882352941
24,Brandon Lowe,0.7058823529411765,0.23529411764705882
25,Brandon Marsh,0.5185185185185185,0.14814814814814814
26,Brandon Nimmo,0.6382978723404256,0.23404255319148937
27,Brayan Rocchio,0.4230769230769231,0.19230769230769232
28,Brendan Rodgers,0.68,0.2
29,Brent Rooker,0.75,0.45
30,Bryan De La Cruz,0.7368421052631579,0.3684210526315789
31,Bryan Reynolds,0.7352941176470589,0.3235294117647059
32,Byron Buxton,0.6956521739130435,0.391304347826087
33,Carlos Correa,0.6875,0.4375
34,Carson Kelly,0.6666666666666666,0.16666666666666666
35,Ceddanne Rafaela,0.6470588235294118,0.2647058823529412
36,Cedric Mullins,0.55,0.25
37,Charlie Blackmon,0.6666666666666666,0.3333333333333333
38,Christian Walker,0.5909090909090909,0.18181818181818182
39,Christopher Morel,0.7352941176470589,0.14705882352941177
40,Cody Bellinger,0.6511627906976745,0.23255813953488372
41,Colt Keith,0.6774193548387096,0.3225806451612903
42,Connor Wong,0.7058823529411765,0.35294117647058826
43,Corbin Carroll,0.825,0.325
44,Corey Seager,0.7941176470588235,0.5
45,Cristian Pache,0.35714285714285715,0.07142857142857142
46,Daniel Schneemann,0.5555555555555556,0.16666666666666666
47,Danny Jansen,0.4,0.13333333333333333
48,Dansby Swanson,0.6875,0.22916666666666666
49,David Fletcher,0.7333333333333333,0.26666666666666666
50,David Fry,0.625,0.1875
51,David Peralta,0.8,0.32
52,Davis Schneider,0.44,0.16
53,Donovan Solano,0.6190476190476191,0.2857142857142857
54,Dylan Crews,0.5833333333333334,0.08333333333333333
55,Elly De La Cruz,0.7045454545454546,0.2727272727272727
56,Eloy Jimenez,0.6842105263157895,0.2631578947368421
57,Eric Wagaman,0.7368421052631579,0.10526315789473684
58,Ernie Clement,0.6388888888888888,0.2777777777777778
59,Ezequiel Tovar,0.6666666666666666,0.3333333333333333
60,Francisco Lindor,0.8297872340425532,0.3829787234042553
61,Freddie Freeman,0.6756756756756757,0.35135135135135137
62,Garrett Mitchell,0.52,0.16
63,Gavin Lux,0.6052631578947368,0.34210526315789475
64,Gavin Sheets,0.5925925925925926,0.2962962962962963
65,Geraldo Perdomo,0.6153846153846154,0.2564102564102564
66,Gio Urshela,0.6666666666666666,0.2
67,Gleyber Torres,0.8666666666666667,0.23333333333333334
