,player,1_hit_rate_under,2_hit_rate_under
0,Aaron Judge,0.7435897435897436,0.38461538461538464
1,Adam Frazier,0.2857142857142857,0.14285714285714285
2,Addison Barger,0.4666666666666667,0.13333333333333333
3,Adley Rutschman,0.5945945945945946,0.1891891891891892
4,Adolis Garcia,0.5185185185185185,0.14814814814814814
5,Alec Bohm,0.6744186046511628,0.20930232558139536
6,Alec Burleson,0.6744186046511628,0.23255813953488372
7,Alejandro Kirk,0.6206896551724138,0.20689655172413793
8,Alex Bregman,0.5142857142857142,0.17142857142857143
9,Alex Verdugo,0.5,0.1
10,Andres Gimenez,0.5434782608695652,0.08695652173913043
11,Andrew McCutchen,0.6470588235294118,0.20588235294117646
12,Andy Pages,0.3684210526315789,0.10526315789473684
13,Anthony Santander,0.55,0.15
14,Anthony Volpe,0.6,0.175
15,Austin Riley,0.7142857142857143,0.35714285714285715
16,Austin Slater,0.3448275862068966,0.06896551724137931
17,Austin Wells,0.5333333333333333,0.1
18,Ben Rice,0.4166666666666667,0.0
19,Ben Rortvedt,0.30434782608695654,0.08695652173913043
20,Blake Perkins,0.4666666666666667,0.3333333333333333
21,Bo Bichette,0.5625,0.1875
22,Bo Naylor,0.4,0.02857142857142857
23,Brandon Drury,0.43478260869565216,0.13043478260869565
24,Brandon Lowe,0.6764705882352942,0.3235294117647059
25,Brandon Marsh,0.5,0.2222222222222222
26,Brandon Nimmo,0.5161290322580645,0.03225806451612903
27,Brayan Rocchio,0.34285714285714286,0.08571428571428572
28,Brendan Rodgers,0.5348837209302325,0.27906976744186046
29,Brent Rooker,0.6756756756756757,0.24324324324324326
30,Bryan De La Cruz,0.48717948717948717,0.23076923076923078
31,Bryan Reynolds,0.6,0.2
32,Byron Buxton,0.6764705882352942,0.38235294117647056
33,Carlos Correa,0.6538461538461539,0.038461538461538464
34,Carson Kelly,0.5,0.0
35,Ceddanne Rafaela,0.5555555555555556,0.25925925925925924
36,Cedric Mullins,0.5294117647058824,0.20588235294117646
37,Charlie Blackmon,0.5357142857142857,0.32142857142857145
38,Christian Walker,0.5675675675675675,0.2702702702702703
39,Christopher Morel,0.5588235294117647,0.08823529411764706
40,Cody Bellinger,0.6086956521739131,0.13043478260869565
41,Colt Keith,0.627906976744186,0.23255813953488372
42,Connor Wong,0.4722222222222222,0.16666666666666666
43,Corbin Carroll,0.6666666666666666,0.18181818181818182
44,Corey Seager,0.7083333333333334,0.25
45,Cristian Pache,0.21428571428571427,0.0
46,Daniel Schneemann,0.5555555555555556,0.1111111111111111
47,Danny Jansen,0.3,0.1
48,Dansby Swanson,0.475,0.2
49,David Fletcher,0.5789473684210527,0.21052631578947367
50,David Fry,0.6,0.06666666666666667
51,David Peralta,0.5,0.3125
52,Davis Schneider,0.21739130434782608,0.08695652173913043
53,Donovan Solano,0.4375,0.125
54,Dylan Crews,0.47058823529411764,0.17647058823529413
55,Elly De La Cruz,0.6046511627906976,0.16279069767441862
56,Eloy Jimenez,0.625,0.3125
57,Eric Wagaman,0.7333333333333333,0.4
58,Ernie Clement,0.5,0.23529411764705882
59,Ezequiel Tovar,0.5476190476190477,0.16666666666666666
60,Francisco Lindor,0.7575757575757576,0.2727272727272727
61,Freddie Freeman,0.6521739130434783,0.08695652173913043
62,Garrett Mitchell,0.5,0.13333333333333333
63,Gavin Lux,0.5882352941176471,0.14705882352941177
64,Gavin Sheets,0.5454545454545454,0.18181818181818182
65,Geraldo Perdomo,0.5,0.10714285714285714
66,Gio Urshela,0.5,0.25
67,Gleyber Torres,0.7142857142857143,0.2857142857142857
68,Harrison Bader,0.2608695652173913,0.17391304347826086
69,Heliot Ramos,0.66,0.2
70,Isaac Paredes,0.45454545454545453,0.11363636363636363
71,Isiah Kiner-Falefa,0.6363636363636364,0.18181818181818182
72,J.P. Martinez,0.4230769230769231,0.07692307692307693
73,Jack Suwinski,0.125,0.0625
74,Jackson Chourio,0.725,0.4
75,Jacob Stallings,0.5238095238095238,0.14285714285714285
76,Jacob Wilson,0.5454545454545454,0.13636363636363635
77,Jacob Young,0.375,0.09375
78,Jake Burger,0.6052631578947368,0.23684210526315788
79,Jake Cave,0.5454545454545454,0.22727272727272727
80,Jake Cronenworth,0.5,0.14285714285714285
81,Jake Fraley,0.48,0.2
82,Jake McCarthy,0.6086956521739131,0.08695652173913043
83,Jake Meyers,0.375,0.125
84,Jake Rogers,0.5,0.05555555555555555
85,James Wood,0.5588235294117647,0.029411764705882353
86,Jared Triolo,0.4074074074074074,0.07407407407407407
87,Jarred Kelenic,0.4074074074074074,0.037037037037037035
88,Jarren Duran,0.75,0.3392857142857143
89,Jazz Chisholm Jr.,0.5,0.175
90,Jeimer Candelario,0.4642857142857143,0.14285714285714285
91,Jesse Winker,0.4090909090909091,0.22727272727272727
92,Joc Pederson,0.5,0.16666666666666666
93,Joey Bart,0.5641025641025641,0.2564102564102564
94,Jon Singleton,0.5238095238095238,0.09523809523809523
95,Jonah Heim,0.45,0.0
96,Jonathan Aranda,0.5294117647058824,0.23529411764705882
97,Jonathan India,0.45,0.1
98,Jonny DeLuca,0.5555555555555556,0.2962962962962963
99,Jordan Walker,0.3125,0.0
100,Jose Altuve,0.7073170731707317,0.2926829268292683
101,Jose Caballero,0.35,0.2
102,Jose Iglesias,0.45,0.1
103,Josh Lowe,0.5333333333333333,0.16666666666666666
104,Josh Naylor,0.5777777777777777,0.26666666666666666
105,Josh Smith,0.6086956521739131,0.34782608695652173
106,Julio Rodriguez,0.42105263157894735,0.21052631578947367
