,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
0,A. Rendon3B,4,0,0,0,0,0,2,.000,.000,.000,G. HendersonSS,4,1,1,0,0,1,1,.250,.400,.250
1,A. HicksRF,3,0,0,0,0,1,2,.000,.250,.000,A. RutschmanC,4,3,2,2,0,1,0,.500,.600,.500
2,M. TroutCF,3,1,1,1,1,0,1,.333,.333,1.333,R. Mountcastle1B,3,0,1,1,0,1,1,.333,.400,.333
3,M. MoniakCF,1,0,0,0,0,0,0,.000,.000,.000,A. SantanderRF,4,1,1,4,1,0,0,.250,.200,1.000
4,T. WardLF,4,0,0,0,0,0,2,.000,.000,.000,C. CowserRF,0,0,0,0,0,0,0,.000,.000,.000
5,B. Drury2B,2,0,0,0,0,0,1,.000,.000,.000,A. HaysLF,4,1,1,0,0,1,2,.250,.400,.250
6,aL. RengifoPH-2B,1,1,1,0,0,0,0,1.000,1.000,2.000,J. WestburgDH,3,0,1,1,0,0,0,.333,.333,.333
7,N. Schanuel1B,2,1,0,0,0,1,1,.000,.333,.000,aR. O'HearnPH-DH,1,1,1,0,0,0,0,1.000,1.000,2.000
8,M. SanoDH,2,0,0,0,0,0,2,.000,.000,.000,C. MullinsCF,4,1,1,3,1,0,0,.250,.250,1.000
9,bJ. AdellPH-DH,1,0,0,0,0,0,1,.000,.000,.000,R. Urias3B,3,1,0,0,0,1,0,.000,.250,.000
10,L. O'HoppeC,2,0,0,0,0,1,0,.000,.333,.000,J. Mateo2B,3,2,1,0,0,1,1,.333,.500,.667
11,Z. NetoSS,3,0,0,1,0,0,2,.000,.000,.000,team,33,11,10,11,2,6,5,,,
12,team,28,3,2,2,1,3,14,,,,,,,,,,,,,,
13,gameId: 401568471,,,,,,,,,,,,,,,,,,,,,
14,I. HappLF,4,0,0,0,0,1,1,.000,.200,.000,M. Semien2B,4,0,0,0,0,1,2,.000,.200,.000
15,S. SuzukiRF,5,1,1,0,0,0,0,.200,.200,.400,C. SeagerSS,5,0,1,0,0,0,1,.200,.200,.200
16,C. BellingerCF,4,0,1,1,0,1,1,.250,.400,.500,J. Jung3B,3,2,1,0,0,2,0,.333,.600,.667
17,C. MorelDH,5,1,2,0,0,0,1,.400,.400,.800,A. GarcíaRF,4,1,2,1,1,1,1,.500,.600,1.250
18,D. SwansonSS,3,0,0,1,0,0,1,.000,.000,.000,W. LangfordDH,3,0,1,1,0,1,1,.333,.400,.333
19,M. Busch1B,2,1,1,0,0,2,1,.500,.750,.500,J. HeimC,5,0,1,1,0,0,2,.200,.200,.200
20,N. Hoerner2B,2,0,0,0,0,1,1,.000,.500,.000,E. Duran1B,3,0,1,0,0,0,2,.333,.333,.667
21,N. Madrigal3B,3,0,1,0,0,0,0,.333,.333,.667,aT. JankowskiPH-CF,1,1,1,1,1,0,0,1.000,1.000,4.000
22,aM. MastrobuoniPH-3B,1,0,0,0,0,0,0,.000,.000,.000,E. CarterLF,3,0,0,0,0,1,0,.000,.250,.000
23,Y. GomesC,3,0,0,0,0,0,1,.000,.000,.000,L. TaverasCF,3,0,0,0,0,0,1,.000,.000,.000
24,bG. CooperPH,1,0,0,0,0,0,1,.000,.000,.000,J. Walsh1B,0,0,0,0,0,0,0,.000,.000,.000
25,M. AmayaC,0,0,0,0,0,0,0,.000,.000,.000,team,34,4,8,4,2,6,10,,,
26,team,33,3,6,2,0,5,8,,,,,,,,,,,,,,
27,gameId: 401568474,,,,,,,,,,,,,,,,,,,,,
28,S. KwanLF,5,1,1,0,0,0,1,.200,.200,.200,R. Noda1B,3,0,0,0,0,0,2,.000,.000,.000
29,J. Ramirez3B,5,1,1,1,0,0,0,.200,.200,.600,aD. HernaizPH-3B,1,0,0,0,0,0,0,.000,.000,.000
30,R. LaureanoRF,4,0,0,0,0,1,2,.000,.200,.000,Z. Gelof2B,4,0,0,0,0,0,2,.000,.000,.000
31,J. Naylor1B,3,1,1,0,0,1,1,.333,.600,.667,J. BledayCF,4,0,2,0,0,0,1,.500,.500,.750
32,D. FryDH,4,2,3,1,0,0,0,.750,.600,1.000,B. RookerDH,4,0,0,0,0,0,3,.000,.000,.000
33,T. FreemanCF,4,1,2,1,0,0,0,.500,.600,.750,S. BrownLF-RF,3,0,0,0,0,0,1,.000,.000,.000
34,A. Gimenez2B,3,1,1,1,0,0,0,.333,.500,.333,J.D. Davis3B-1B,3,0,1,0,0,0,1,.333,.333,.333
35,A. HedgesC,4,1,1,1,0,0,2,.250,.250,.250,S. LangeliersC,3,0,0,0,0,0,1,.000,.000,.000
36,B. RocchioSS,3,0,1,2,0,1,1,.333,.500,.667,L. ButlerRF,1,0,0,0,0,1,1,.000,.500,.000
37,team,35,8,11,7,0,3,7,,,,bE. RuizPH-LF,1,0,0,0,0,0,0,.000,.000,.000
38,,,,,,,,,,,,N. AllenSS,3,0,1,0,0,0,1,.333,.333,.333
39,,,,,,,,,,,,team,30,0,4,0,0,1,13,,,
40,gameId: 401568475,,,,,,,,,,,,,,,,,,,,,
41,C. BlackmonRF,2,0,0,0,0,1,0,.000,.333,.000,K. Marte2B,5,3,3,1,0,0,0,.600,.600,.600
42,J. CaveRF,1,0,0,0,0,0,0,.000,.000,.000,J. Peterson2B,0,0,0,0,0,0,0,.000,.000,.000
43,K. Bryant1B,2,0,0,0,0,0,0,.000,.333,.000,C. CarrollRF,3,2,0,0,0,2,0,.000,.400,.000
44,M. Toglia1B,1,0,0,0,0,0,0,.000,.000,.000,L. Gurriel Jr.LF,5,3,3,5,1,0,2,.600,.600,1.200
45,N. JonesLF,4,0,0,0,0,0,2,.000,.000,.000,J. McCarthyLF,0,0,0,0,0,0,0,.000,.000,.000
46,B. Rodgers2B,4,1,1,0,0,0,0,.250,.250,.500,C. Walker1B,4,2,2,2,0,1,2,.500,.600,.750
47,R. McMahon3B,2,0,2,1,0,2,0,1.000,1.000,1.500,G. MorenoC,5,2,2,3,0,0,1,.400,.400,.600
48,E. DiazC,3,0,1,0,0,0,1,.333,.333,.333,E. Suarez3B,4,1,2,2,0,0,1,.500,.400,.500
49,J. StallingsC,1,0,0,0,0,0,0,.000,.000,.000,B. AlexanderDH-SS,5,0,2,1,0,0,2,.400,.400,.400
50,E. TovarSS,4,0,0,0,0,0,1,.000,.000,.000,A. ThomasCF,5,1,2,1,0,0,1,.400,.400,.600
51,E. MonteroDH,3,0,0,0,0,0,1,.000,.000,.000,G. PerdomoSS,4,2,2,1,0,0,0,.500,.500,.500
52,B. DoyleCF,3,0,0,0,0,0,1,.000,.000,.000,L. FriasP,0,0,0,0,0,0,0,.000,.000,.000
53,team,30,1,4,1,0,3,6,,,,team,40,16,18,16,1,3,9,,,
54,gameId: 401568476,,,,,,,,,,,,,,,,,,,,,
55,A. Ibanez3B,2,0,1,1,0,0,1,.500,.333,.500,A. BenintendiLF,4,0,0,0,0,0,2,.000,.000,.000
56,aK. CarpenterPH,0,0,0,0,0,0,0,.000,1.000,.000,Y. Moncada3B,4,0,0,0,0,0,1,.000,.000,.000
57,G. Urshela3B,0,0,0,0,0,0,0,.000,.000,.000,L. Robert Jr.CF,4,0,1,0,0,0,2,.250,.250,.250
58,S. Torkelson1B,4,0,2,0,0,0,0,.500,.500,.500,E. JimenezDH,3,0,1,0,0,0,0,.333,.333,.333
59,R. GreeneLF,4,0,0,0,0,0,2,.000,.000,.000,A. Vaughn1B,3,0,1,0,0,0,2,.333,.333,.333
60,M. CanhaDH,3,0,0,0,0,1,2,.000,.250,.000,P. DeJongSS,3,0,0,0,0,0,2,.000,.000,.000
61,M. VierlingRF,4,0,1,0,0,0,3,.250,.250,.250,K. PillarRF,3,0,0,0,0,0,1,.000,.000,.000
62,C. Keith2B,4,0,1,0,0,0,0,.250,.250,.250,M. MaldonadoC,3,0,0,0,0,0,1,.000,.000,.000
63,J. RogersC,4,0,0,0,0,0,1,.000,.000,.000,N. Lopez2B,3,0,0,0,0,0,0,.000,.000,.000
64,J. BaezSS,4,1,1,0,0,0,1,.250,.250,.250,team,30,0,3,0,0,0,11,,,
65,P. MeadowsCF,3,0,0,0,0,0,1,.000,.000,.000,,,,,,,,,,,
66,team,32,1,6,1,0,1,11,,,,,,,,,,,,,,
67,gameId: 401568477,,,,,,,,,,,,,,,,,,,,,
68,G. Torres2B,4,1,0,0,0,1,1,.000,.200,.000,J. Altuve2B,5,0,1,0,0,0,2,.200,.200,.200
69,J. SotoRF,3,0,1,1,0,2,1,.333,.600,.333,Y. AlvarezDH,5,1,2,0,0,0,0,.400,.400,.400
70,A. JudgeCF,4,1,1,0,0,1,2,.250,.400,.500,K. TuckerRF,4,1,1,0,0,1,2,.250,.400,.250
71,G. StantonDH,5,0,1,0,0,0,2,.200,.200,.200,A. Bregman3B,5,0,1,0,0,0,0,.200,.200,.200
72,A. Rizzo1B,3,0,1,1,0,1,1,.333,.600,.333,J. Abreu1B,3,1,0,0,0,1,1,.000,.250,.000
73,A. VolpeSS,2,0,1,1,0,3,1,.500,.800,.500,C. McCormickLF,4,0,1,2,0,0,1,.250,.250,.250
74,A. VerdugoLF,3,0,1,1,0,0,0,.333,.250,.333,Y. DiazC,4,0,3,1,0,0,0,.750,.750,.750
75,J. TrevinoC,3,1,0,0,0,1,1,.000,.250,.000,J. PenaSS,4,0,2,0,0,0,0,.500,.500,.750
76,O. Cabrera3B,4,2,2,1,1,0,1,.500,.500,1.250,J. MeyersCF,2,1,1,1,1,0,1,.500,.500,2.000
77,team,31,5,8,5,1,9,10,,,,aJ. SingletonPH,1,0,0,0,0,0,0,.000,.000,.000
78,,,,,,,,,,,,M. DubonCF,1,0,1,0,0,0,0,1.000,1.000,1.000
79,,,,,,,,,,,,team,38,4,13,4,1,2,7,,,
80,gameId: 401568480,,,,,,,,,,,,,,,,,,,,,
81,C. JoeRF-1B,4,1,0,0,0,2,0,.000,.333,.000,L. Arraez2B,6,0,0,0,0,0,1,.000,.000,.000
82,B. ReynoldsLF-RF,5,1,2,2,1,1,2,.400,.500,1.200,J. Bell1B,4,1,2,0,0,1,1,.500,.667,.500
83,K. Hayes3B,4,1,2,0,0,2,1,.500,.667,.750,B. De La CruzDH,6,1,1,0,0,0,1,.167,.167,.167
84,A. McCutchenDH,5,0,0,1,0,1,4,.000,.167,.000,J. Chisholm Jr.CF,3,2,1,0,0,2,0,.333,.600,.667
85,H. DavisC,6,0,1,0,0,0,1,.167,.167,.167,J. Burger3B,4,1,3,3,0,0,0,.750,.600,.750
86,O. CruzSS,5,1,1,1,1,1,3,.200,.333,.800,J. SánchezRF,3,0,0,1,0,0,0,.000,.000,.000
87,J. Triolo2B,6,0,1,1,0,0,2,.167,.167,.167,aA. GarciaPH-RF,2,0,0,0,0,0,1,.000,.000,.000
88,R. Tellez1B,2,0,0,0,0,0,2,.000,.000,.000,Tim AndersonSS,5,0,1,1,0,0,1,.200,.200,.400
89,aE. OlivaresPH-RF,1,1,1,1,1,0,0,1.000,1.000,4.000,N. GordonLF,3,0,0,0,0,0,1,.000,.000,.000
