Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
0,J. ChourioLF-RF,5,0,0,0,0,0,5,0,0,0,A. WellsC,3,1,1,1,1,1,1,0.333,0.5,1.333
1,C. YelichDH,4,0,0,0,0,1,2,0,0.2,0,A. JudgeRF,4,0,1,1,0,0,2,0.25,0.25,0.5
2,W. ContrerasC,4,0,0,0,0,0,1,0,0,0,C. BellingerCF-LF,2,0,1,1,0,1,1,0.5,0.5,0.5
3,R. Hoskins1B,2,0,0,0,0,2,1,0,0.5,0,P. Goldschmidt1B,4,0,0,0,0,0,2,0,0,0
4,S. FrelickRF-CF,4,0,2,0,0,0,1,0.5,0.5,0.5,J. Chisholm Jr.2B,3,0,0,0,0,1,2,0,0.25,0
5,J. OrtizSS,4,1,2,0,0,0,0,0.5,0.5,0.5,J. DominguezLF,3,0,0,0,0,0,0,0,0,0
6,G. MitchellCF,2,0,0,0,0,0,0,0,0,0,T. GrishamCF,1,0,1,0,0,0,0,1,1,1
7,aI. CollinsPH-LF,2,0,1,0,0,0,0,0.5,0.5,1,A. VolpeSS,4,1,1,1,1,0,1,0.25,0.25,1
8,V. Capra3B,3,1,1,1,1,0,1,0.333,0.333,1.333,B. RiceDH,2,1,1,0,0,1,1,0.5,0.667,0.5
9,bJ. BauersPH,0,0,0,0,0,1,0,0,1,0,O. Cabrera3B,3,1,1,0,0,0,0,0.333,0.333,0.333
10,B. Turang2B,3,0,1,1,0,0,2,0.333,0.25,0.333,team,29,4,7,4,2,4,10,,,
11,team,33,2,7,2,1,4,13,,,,,,,,,,,,,,
12,gameId: 401694911,,,,,,,,,,,,,,,,,,,,,
13,T. TurnerSS,4,0,0,0,0,1,1,0,0.2,0,C. AbramsSS,5,0,0,1,0,0,2,0,0,0
14,B. Harper1B,4,2,1,1,1,1,2,0.25,0.4,1,J. WoodLF,3,0,0,0,0,1,1,0,0.25,0
15,A. Bohm3B,5,1,2,2,0,0,2,0.4,0.4,0.6,L. Garcia Jr.2B,4,0,2,1,0,0,1,0.5,0.5,0.75
16,K. SchwarberDH,4,2,2,1,1,1,1,0.5,0.6,1.25,J. BellDH,4,0,0,0,0,0,1,0,0,0
17,J.T. RealmutoC,5,0,1,2,0,0,4,0.2,0.2,0.6,N. Lowe1B,4,0,1,0,0,0,3,0.25,0.25,0.25
18,M. KeplerLF,3,1,1,0,0,2,2,0.333,0.6,0.667,P. DeJong3B,4,0,0,0,0,0,4,0,0,0
19,N. CastellanosRF,4,0,1,0,0,1,1,0.25,0.4,0.25,K. RuizC,4,1,2,1,1,0,0,0.5,0.5,1.25
20,B. Stott2B,4,1,0,0,0,0,2,0,0,0,D. CrewsRF,3,1,0,0,0,1,0,0,0.25,0
21,B. MarshCF,4,0,0,0,0,0,4,0,0,0,J. YoungCF,2,1,0,0,0,1,1,0,0.5,0
22,team,37,7,8,6,2,6,19,,,,team,33,3,5,3,1,3,13,,,
23,gameId: 401694912,,,,,,,,,,,,,,,,,,,,,
24,T. PhamLF,3,0,1,0,0,1,2,0.333,0.6,0.667,X. EdwardsSS,3,1,0,1,0,2,1,0,0.4,0
25,B. ReynoldsRF,4,0,1,2,0,1,0,0.25,0.4,0.25,K. StowersLF,3,1,1,1,0,2,2,0.333,0.6,0.333
26,O. CruzCF,4,0,0,0,0,1,1,0,0.2,0,J. BrideDH,3,0,1,0,0,1,0,0.333,0.5,0.333
27,J. BartC,4,1,0,0,0,0,1,0,0.2,0,M. Mervis1B,4,0,0,0,0,0,3,0,0,0
28,A. McCutchenDH,4,0,0,0,0,0,0,0,0,0,O. Lopez2B,3,1,1,1,0,1,1,0.333,0.5,0.333
29,N. Gonzales2B,3,1,1,2,1,0,2,0.333,0.333,1.333,G. ConineRF,2,0,0,0,0,0,1,0,0,0
30,A. Frazier2B,0,0,0,0,0,1,0,0,1,0,aD. MyersPH-RF,2,0,1,1,0,0,1,0.5,0.5,0.5
31,E. Rodriguez1B,3,0,0,0,0,1,3,0,0.25,0,D. HillCF,3,1,1,0,0,1,0,0.333,0.5,0.667
32,K. Hayes3B,4,1,1,0,0,0,1,0.25,0.25,0.25,G. Pauley3B,4,0,1,0,0,0,1,0.25,0.25,0.25
33,I. Kiner-FalefaSS,2,1,0,0,0,2,1,0,0.5,0,N. FortesC,3,0,1,0,0,0,1,0.333,0.5,1
34,team,31,4,4,4,1,7,11,,,,J. SanojaPR,0,1,0,0,0,0,0,0,0,0
35,,,,,,,,,,,,team,30,5,7,4,0,7,11,,,
36,gameId: 401694913,,,,,,,,,,,,,,,,,,,,,
37,L. Wade Jr.1B,4,0,0,0,0,0,1,0,0,0,T. FriedlCF,5,1,2,1,0,0,1,0.4,0.4,0.4
38,W. AdamesSS,4,0,0,0,0,0,3,0,0,0,M. McLain2B,5,0,0,0,0,0,2,0,0,0
39,J. LeeCF,2,2,0,0,0,2,2,0,0.5,0,E. De La CruzSS,3,2,1,0,0,1,1,0.333,0.5,0.333
40,M. Chapman3B,4,1,1,0,0,0,1,0.25,0.25,0.25,G. LuxLF,3,0,1,0,0,1,0,0.333,0.5,0.333
41,H. RamosLF,4,1,1,2,1,0,3,0.25,0.25,1,B. DunnLF,0,0,0,0,0,0,0,0,0,0
42,P. BaileyC,4,1,1,1,0,0,2,0.25,0.25,0.25,J. Candelario3B,3,0,2,3,0,1,1,0.667,0.75,0.667
43,W. FloresDH,4,1,1,3,1,0,1,0.25,0.25,1,S. SteerDH,4,0,0,0,0,0,3,0,0,0
44,M. YastrzemskiRF,4,0,2,0,0,0,2,0.5,0.5,0.5,C. Encarnacion-Strand1B,4,0,2,0,0,0,0,0.5,0.5,0.75
45,T. Fitzgerald2B,3,0,0,0,0,0,2,0,0,0,J. FraleyRF,4,0,0,0,0,0,0,0,0,0
46,team,33,6,6,6,2,2,17,,,,J. TrevinoC,2,0,0,0,0,1,0,0,0.333,0
47,,,,,,,,,,,,aJ. HurtubisePH,0,1,0,0,0,0,0,0,1,0
48,,,,,,,,,,,,team,33,4,8,4,0,4,8,,,
49,gameId: 401694914,,,,,,,,,,,,,,,,,,,,,
50,T. WardLF,4,0,1,0,0,0,0,0.25,0.25,0.5,M. Vargas3B,4,1,2,2,0,0,1,0.5,0.5,0.75
51,N. Schanuel1B,4,0,1,0,0,0,0,0.25,0.25,0.25,L. Robert Jr.CF,4,0,1,0,0,0,1,0.25,0.25,0.5
52,M. TroutRF,2,0,0,0,0,1,0,0,0.5,0,A. BenintendiDH,4,1,1,3,1,0,2,0.25,0.25,1
53,J. SolerDH,4,0,0,0,0,0,2,0,0,0,A. Vaughn1B,4,0,0,0,0,0,0,0,0,0
54,Tim Anderson2B-SS,4,0,0,0,0,0,3,0,0,0,A. SlaterRF,3,1,1,1,1,0,0,0.333,0.333,1.333
55,L. Rengifo3B-2B,4,0,0,0,0,0,2,0,0,0,aN. MatonPH,0,0,0,0,0,1,0,0,1,0
56,L. O'HoppeC,4,1,2,1,1,0,1,0.5,0.5,1.25,T. JankowskiPR-RF,0,1,0,0,0,0,0,0,0,0
57,J. AdellCF,3,0,1,0,0,0,1,0.333,0.333,0.333,L. Sosa2B,4,1,1,2,1,0,0,0.25,0.25,1
58,bK. ParisPH,1,0,0,0,0,0,1,0,0,0,K. LeeC,3,1,1,0,0,1,1,0.333,0.5,0.333
59,K. NewmanSS,2,0,0,0,0,0,0,0,0,0,J. AmayaSS,4,1,1,0,0,0,1,0.25,0.25,0.25
60,aY. MoncadaPH-3B,0,0,0,0,0,1,0,0,1,0,M. TaylorLF,3,1,1,0,0,0,0,0.333,0.333,0.333
61,team,32,1,5,1,1,2,10,,,,team,33,8,9,8,3,2,6,,,
62,gameId: 401694915,,,,,,,,,,,,,,,,,,,,,
63,J. DuranLF,4,0,1,0,0,0,1,0.25,0.25,0.25,M. Semien2B,4,0,1,0,0,0,2,0.25,0.25,0.25
64,R. DeversDH,4,0,0,0,0,0,3,0,0,0,C. SeagerDH,4,0,0,0,0,0,2,0,0,0
65,A. Bregman3B,4,0,0,0,0,0,1,0,0,0,W. LangfordLF,3,0,1,0,0,1,0,0.333,0.5,0.333
66,T. Casas1B,4,0,0,0,0,0,2,0,0,0,A. GarcíaRF,4,0,0,0,0,0,0,0,0,0
67,T. StorySS,3,1,0,0,0,1,2,0,0.25,0,J. Burger1B,3,1,0,0,0,1,0,0,0.25,0
68,K. Campbell2B,3,0,1,0,0,1,1,0.333,0.5,0.333,J. Jung3B,4,0,2,0,0,0,1,0.5,0.5,0.5
69,D. HamiltonPR-2B,0,1,0,0,0,0,0,0,0,0,K. PillarCF,3,1,2,1,0,0,0,0.667,0.667,0.667
70,W. AbreuRF,3,3,3,4,2,1,0,1,1,3,aJ. PedersonPH,1,0,0,0,0,0,0,0,0,0
71,C. WongC,4,0,1,0,0,0,1,0.25,0.25,0.25,K. HigashiokaC,4,0,1,1,0,0,0,0.25,0.25,0.5
72,C. RafaelaCF,4,0,0,1,0,0,2,0,0,0,J. SmithSS,3,0,0,0,0,0,2,0,0,0
73,team,33,5,6,5,2,3,13,,,,team,33,2,7,2,0,2,7,,,
74,gameId: 401694916,,,,,,,,,,,,,,,,,,,,,
75,S. KwanLF,4,1,2,1,0,0,0,0.5,0.5,0.75,J. India3B-LF,5,0,0,0,0,0,0,0,0,0
76,J. Ramirez3B,4,0,0,1,0,0,0,0,0,0,B. Witt Jr.SS,5,1,1,0,0,0,3,0.2,0.2,0.2
77,L. ThomasCF,5,0,1,0,0,0,0,0.2,0.2,0.2,V. PasquantinoDH,4,1,2,3,1,0,0,0.5,0.5,1.5
78,C. Santana1B,4,2,1,0,0,1,1,0.25,0.4,0.25,F. FerminPR-DH,0,1,0,0,0,0,0,0,0,0
79,K. ManzardoDH,4,2,3,4,1,1,1,0.75,0.8,2.25,S. PerezC,4,0,1,0,0,0,2,0.25,0.25,0.25
80,J. NoelRF,4,0,1,1,0,0,1,0.25,0.2,0.25,M. Massey2B,3,0,1,1,0,0,0,0.333,0.25,0.333
