,Player,Team
0,Ian Happ,CHC
1,Jarren Duran,BOS
2,Kyle Tucker,CHC
3,Corbin Carroll,ARI
4,Rafael Devers,BOS
5,Lars Nootbaar,STL
6,Francisco Lindor,NYM
7,Pete Alonso,NYM
8,Juan Soto,NYM
9,Alex Bregman,BOS
10,Bryan Reynolds,PIT
11,Brent Rooker,ATH
12,Willy Adames,SFG
13,Xavier Edwards,MIA
14,Jackson Chourio,MIL
15,Elly De La Cruz,CIN
16,Aaron Judge,NYY
17,Bobby Witt Jr.,KCR
18,Geraldo Perdomo,ARI
19,Julio Rodriguez,SEA
20,Bo Bichette,TOR
21,James Wood,WSN
22,Bryce Harper,PHI
23,Shohei Ohtani,LAD
24,Cal Raleigh,SEA
25,Dansby Swanson,CHC
26,Yandy Diaz,TBR
27,TJ Friedl,CIN
28,Lawrence Butler,ATH
29,Matt Chapman,SFG
30,Willson Contreras,STL
31,Kyle Schwarber,PHI
32,Tyler Soderstrom,ATH
33,Pete Crow-Armstrong,CHC
34,Austin Riley,ATL
35,Heliot Ramos,SFG
36,Spencer Torkelson,DET
37,Vladimir Guerrero Jr.,TOR
38,Matt Olson,ATL
39,Ozzie Albies,ATL
40,Steven Kwan,CLE
41,Josh Naylor,ARI
42,Vinnie Pasquantino,KCR
43,Brendan Donovan,STL
44,Paul Goldschmidt,NYY
45,Anthony Santander,TOR
46,Brice Turang,MIL
47,Jose Altuve,HOU
48,JJ Bleday,ATH
49,Jung Hoo Lee,SFG
50,Nathaniel Lowe,WSN
51,Christian Yelich,MIL
52,William Contreras,MIL
53,Riley Greene,DET
54,Seiya Suzuki,CHC
55,Oneil Cruz,PIT
56,Jonathan India,KCR
57,Brandon Nimmo,NYM
58,Isaac Paredes,HOU
59,Trevor Story,BOS
60,Trea Turner,PHI
61,Nolan Arenado,STL
62,Randy Arozarena,SEA
63,Mookie Betts,LAD
64,Jeremy Pena,HOU
65,Eugenio Suarez,ARI
66,Fernando Tatis Jr.,SDP
67,Anthony Volpe,NYY
68,Ty France,MIN
69,Trevor Larnach,MIN
70,Jacob Wilson,ATH
71,Michael Harris II,ATL
72,Manny Machado,SDP
73,Luis Robert Jr.,CHW
74,Mark Vientos,NYM
