player,team
Ian Happ#,CHC
Kyle Tucker*,CHC
Seiya Suzuki,CHC
Pete Crow-Armstrong*,CHC
Matt Shaw,CHC
Dansby Swanson,CHC
Shohei Ohtani*,LAD
Michael Busch*,CHC
Tommy Edman#,LAD
Teoscar Hernández,LAD
Ketel Marte#,ARI
Max Muncy*,LAD
Bryan Reynolds#,PIT
Xavier Edwards#,MIA
Lourdes Gurriel Jr.,ARI
Andy Pages,LAD
Bo Bichette,TOR
Alex Bregman,BOS
Jonah Bride,MIA
Lawrence Butler*,ATH
Corbin Carroll*,ARI
Colton Cowser*,BAL
Rafael Devers*,BOS
Jarren Duran*,BOS
Andrés Giménez*,TOR
Vladimir Guerrero Jr.,TOR
Otto López,MIA
Cedric Mullins*,BAL
Josh Naylor*,ARI
Brent Rooker,ATH
Adley Rutschman#,BAL
Anthony Santander#,TOR
JJ Bleday*,ATH
Triston Casas*,BOS
Oneil Cruz*,PIT
Player,Team
Derek Hill,MIA
Ryan O'Hearn*,BAL
Geraldo Perdomo#,ARI
Víctor Robles,SEA
Will Smith,LAD
Eugenio Suárez,ARI
Fernando Tatis Jr.,SDP
Ozzie Albies#,ATL
Miguel Amaya,CHC
Luis Arráez*,SDP
Alec Bohm,PHI
Kristian Campbell,BOS
Michael Conforto*,LAD
Jackson Holliday*,BAL
Isiah Kiner-Falefa,PIT
Wyatt Langford,TEX
Matt Olson*,ATL
Marcell Ozuna,ATL
Jurickson Profar#,ATL
Austin Riley,ATL
Julio Rodríguez,SEA
Marcus Semien,TEX
Tyler Soderstrom*,ATH
Kyle Stowers*,MIA
Wilyer Abreu*,BOS
Randy Arozarena,SEA
Joey Bart,PIT
Xander Bogaerts,SDP
Jackson Chourio,MIL
Jake Cronenworth*,SDP
Adolis García,TEX
Michael Harris II*,ATL
Jackson Merrill*,SDP
Tommy Pham,PIT
Cal Raleigh#,SEA
Player,Team
Kyle Schwarber*,PHI
Jacob Wilson,ATH
CJ Abrams*,WSN
Cody Bellinger*,NYY
Jake Burger,TEX
Jazz Chisholm Jr.*,NYY
Willson Contreras,STL
Yandy Díaz,TBR
Adam Frazier*,PIT
Paul Goldschmidt,NYY
Riley Greene*,DET
Bryce Harper*,PHI
Jonathan India,KCR
Aaron Judge,NYY
Steven Kwan*,CLE
Manny Machado,SDP
Kyle Manzardo*,CLE
Lars Nootbaar*,STL
Miguel Rojas,LAD
Carlos Santana#,CLE
Lane Thomas,CLE
Spencer Torkelson,DET
Anthony Volpe,NYY
Jordan Westburg,BAL
Bobby Witt Jr.,KCR
Miguel Andujar,ATH
Nolan Arenado,STL
Josh Bell#,WSN
Nick Castellanos,PHI
J.P. Crawford*,SEA
Brendan Donovan*,STL
Brenton Doyle,COL
Sal Frelick*,MIL
Ke'Bryan Hayes,PIT
Nico Hoerner,CHC
Player,Team
Jarred Kelenic*,ATL
Francisco Lindor#,NYM
Brandon Lowe*,TBR
Nathaniel Lowe*,WSN
Brandon Marsh*,PHI
Andrew McCutchen,PIT
Matt McLain,CIN
Ryan Mountcastle,BAL
Tyler O'Neill,BAL
Joey Ortiz,MIL
Endy Rodríguez#,PIT
Juan Soto*,NYM
George Springer,TOR
Bryson Stott*,PHI
Brice Turang*,MIL
Ramón Urías,BAL
Will Wagner*,TOR
Matt Wallner*,MIN
Connor Wong,BOS
James Wood*,WSN
Willy Adames,SFG
Pete Alonso,NYM
Jose Altuve,HOU
Yordan Alvarez*,HOU
Drake Baldwin*,ATL
Andrew Benintendi*,CHW
Alec Burleson*,STL
Byron Buxton,MIN
Jeimer Candelario#,CIN
Matt Chapman,SFG
William Contreras,MIL
Carlos Correa,MIN
Dylan Crews,WSN
Elly De La Cruz#,CIN
Christian Encarnacion-Strand,CIN
Player,Team
Wilmer Flores,SFG
Freddie Freeman*,LAD
Hunter Goodman,COL
Colt Keith*,DET
Alejandro Kirk,TOR
Shea Langeliers,ATH
Jung Hoo Lee*,SFG
Michael Massey*,KCR
Ryan McMahon*,COL
Max Muncy,ATH
Dane Myers,MIA
Bo Naylor*,CLE
Brandon Nimmo*,NYM
Isaac Paredes,HOU
Vinnie Pasquantino*,KCR
Joc Pederson*,TEX
Salvador Perez,KCR
Ceddanne Rafaela,BOS
Heliot Ramos,SFG
Luis Rengifo#,LAA
Luis Robert Jr.,CHW
