,player,1_hit_rate_over,2_hit_rate_over
0,Aaron Judge,0.7454545454545455,0.41818181818181815
1,Aaron Schunk,0.38461538461538464,0.23076923076923078
2,Abraham Toro,0.6216216216216216,0.21621621621621623
3,Adam Frazier,0.5,0.13333333333333333
4,Alec Bohm,0.8461538461538461,0.2692307692307692
5,Alex Call,0.8333333333333334,0.5
6,Alex Verdugo,0.6470588235294118,0.21568627450980393
7,Ali Sanchez,0.3,0.1
8,Andrew McCutchen,0.7111111111111111,0.13333333333333333
9,Andrew Vaughn,0.6792452830188679,0.22641509433962265
10,Andruw Monasterio,0.5333333333333333,0.2
11,Andy Ibanez,0.6190476190476191,0.23809523809523808
12,Anthony Rizzo,0.6296296296296297,0.18518518518518517
13,Anthony Volpe,0.7407407407407407,0.3333333333333333
14,Austin Hays,0.6190476190476191,0.23809523809523808
15,Austin Hedges,0.45454545454545453,0.0
16,Austin Wells,0.6785714285714286,0.21428571428571427
17,Blake Perkins,0.5,0.25
18,Bligh Madris,0.6,0.2
19,Braden Shewmake,0.42857142857142855,0.0
20,Brandon Drury,0.5384615384615384,0.1282051282051282
21,Brandon Marsh,0.7209302325581395,0.2558139534883721
22,Brandon Nimmo,0.6511627906976745,0.18604651162790697
23,Brendan Donovan,0.6590909090909091,0.3409090909090909
24,Brendan Rodgers,0.6666666666666666,0.25925925925925924
25,Brent Rooker,0.7424242424242424,0.3181818181818182
26,Brett Baty,0.7857142857142857,0.21428571428571427
27,Brice Turang,0.7272727272727273,0.2909090909090909
28,Bryan De La Cruz,0.6779661016949152,0.2711864406779661
29,Bryan Ramos,0.4375,0.125
30,Bryce Johnson,0.23076923076923078,0.07692307692307693
31,Bryson Stott,0.6666666666666666,0.2708333333333333
32,Byron Buxton,0.8055555555555556,0.25
33,Cal Raleigh,0.6825396825396826,0.25396825396825395
34,Carlos Correa,0.8378378378378378,0.2972972972972973
35,Carlos Santana,0.6415094339622641,0.18867924528301888
36,Cedric Mullins,0.5,0.23809523809523808
37,Charlie Blackmon,0.65,0.275
38,Chris Taylor,0.3181818181818182,0.045454545454545456
39,Christian Encarnacion-Strand,0.6363636363636364,0.36363636363636365
40,Christian Walker,0.7058823529411765,0.35294117647058826
41,Christian Yelich,0.7857142857142857,0.35714285714285715
42,Chuckie Robinson,0.25,0.0
43,Colt Keith,0.6170212765957447,0.2765957446808511
44,Colton Cowser,0.6739130434782609,0.1956521739130435
45,Connor Wong,0.6818181818181818,0.3181818181818182
46,Curtis Mead,0.6,0.13333333333333333
47,DJ LeMahieu,0.6470588235294118,0.23529411764705882
48,Dairon Blanco,0.32142857142857145,0.14285714285714285
49,Dane Myers,0.9,0.2
50,Darell Hernaiz,0.3888888888888889,0.05555555555555555
51,David Bote,0.2857142857142857,0.07142857142857142
52,David Fletcher,0.5,0.22727272727272727
53,David Peralta,0.6206896551724138,0.27586206896551724
54,Davis Schneider,0.4666666666666667,0.15555555555555556
55,Davis Wendzel,0.18181818181818182,0.0
56,Daz Cameron,0.56,0.0
57,Derek Hill,0.6666666666666666,0.25
58,Dillon Dingler,0.36363636363636365,0.18181818181818182
59,Dylan Carlson,0.5217391304347826,0.043478260869565216
60,Dylan Crews,0.4444444444444444,0.1111111111111111
61,Dylan Moore,0.48936170212765956,0.1276595744680851
62,Edouard Julien,0.4642857142857143,0.21428571428571427
63,Elehuris Montero,0.7307692307692307,0.11538461538461539
64,Eloy Jimenez,0.75,0.25
65,Emmanuel Rivera,0.36666666666666664,0.03333333333333333
66,Ernie Clement,0.5714285714285714,0.23809523809523808
67,Esteury Ruiz,0.625,0.125
68,Ezequiel Tovar,0.7377049180327869,0.3442622950819672
69,Fernando Tatis Jr.,0.7435897435897436,0.28205128205128205
70,Francisco Lindor,0.7551020408163265,0.30612244897959184
71,Freddy Fermin,0.625,0.1
72,Garrett Cooper,0.75,0.125
73,Garrett Hampson,0.34782608695652173,0.13043478260869565
74,Garrett Mitchell,0.6666666666666666,0.2222222222222222
75,Grant McCray,0.5454545454545454,0.36363636363636365
76,Gunnar Henderson,0.7115384615384616,0.36538461538461536
77,Harold Ramirez,0.6363636363636364,0.22727272727272727
78,Harrison Bader,0.4594594594594595,0.1891891891891892
79,Heliot Ramos,0.7555555555555555,0.3111111111111111
80,Heston Kjerstad,0.75,0.3333333333333333
81,Hunter Renfroe,0.7142857142857143,0.2619047619047619
82,Ildemaro Vargas,0.5862068965517241,0.20689655172413793
83,J.D. Davis,0.5,0.0
84,J.P. Crawford,0.6,0.0
85,J.P. Martinez,0.56,0.2
86,JJ Bleday,0.6376811594202898,0.2463768115942029
87,Jack Lopez,0.625,0.25
88,Jackson Holliday,0.5,0.16666666666666666
89,Jacob Hurtubise,0.45454545454545453,0.09090909090909091
90,Jacob Wilson,0.6153846153846154,0.15384615384615385
91,Jacob Young,0.5384615384615384,0.1794871794871795
92,Jake Bauers,0.53125,0.125
93,Jake Burger,0.6923076923076923,0.1794871794871795
94,Jake Cave,0.6,0.225
