,player,1_runs_rate_under,2_runs_rate_under,3_runs_rate_under,4_runs_rate_under
0,Aaron Judge,0.525,0.15,0.025,0.025
1,Adam Frazier,0.15,0.0,0.0,0.0
2,Adley Rutschman,0.2647058823529412,0.0,0.0,0.0
3,Adolis Garcia,0.21212121212121213,0.06060606060606061,0.0,0.0
4,Alec Bohm,0.2682926829268293,0.07317073170731707,0.0,0.0
5,Alejandro Kirk,0.15625,0.0,0.0,0.0
6,Alek Thomas,0.2,0.06666666666666667,0.0,0.0
7,Alex Bregman,0.26666666666666666,0.1,0.0,0.0
8,Alex Verdugo,0.2727272727272727,0.18181818181818182,0.0,0.0
9,Amed Rosario,0.21052631578947367,0.05263157894736842,0.0,0.0
10,Andres Gimenez,0.17857142857142858,0.017857142857142856,0.0,0.0
11,Andrew Benintendi,0.4117647058823529,0.08823529411764706,0.0,0.0
12,Andrew McCutchen,0.2647058823529412,0.08823529411764706,0.029411764705882353,0.0
13,Andrew Vaughn,0.2631578947368421,0.05263157894736842,0.0,0.0
14,Andy Pages,0.48,0.0,0.0,0.0
15,Anthony Santander,0.2608695652173913,0.08695652173913043,0.0,0.0
16,Anthony Volpe,0.3783783783783784,0.0,0.0,0.0
17,Austin Hays,0.2,0.0,0.0,0.0
18,Austin Slater,0.24691358024691357,0.0,0.0,0.0
19,Austin Wells,0.22857142857142856,0.05714285714285714,0.0,0.0
20,Ben Rice,0.2,0.0,0.0,0.0
21,Bo Naylor,0.15789473684210525,0.0,0.0,0.0
22,Bobby Witt Jr.,0.4857142857142857,0.08571428571428572,0.02857142857142857,0.0
23,Brandon Drury,0.3076923076923077,0.038461538461538464,0.0,0.0
24,Brandon Lowe,0.36666666666666664,0.06666666666666667,0.03333333333333333,0.0
25,Brandon Nimmo,0.2631578947368421,0.05263157894736842,0.0,0.0
26,Brayan Rocchio,0.15,0.025,0.0,0.0
27,Brent Rooker,0.5277777777777778,0.1388888888888889,0.08333333333333333,0.0
28,Brenton Doyle,0.36585365853658536,0.04878048780487805,0.024390243902439025,0.0
29,Brett Wisely,0.14285714285714285,0.0,0.0,0.0
30,Brooks Baldwin,0.10526315789473684,0.0,0.0,0.0
31,Bryan De La Cruz,0.2903225806451613,0.03225806451612903,0.0,0.0
32,Bryan Reynolds,0.3125,0.14583333333333334,0.020833333333333332,0.0
33,Bryce Harper,0.4090909090909091,0.09090909090909091,0.0,0.0
34,Byron Buxton,0.6111111111111112,0.3055555555555556,0.05555555555555555,0.0
35,CJ Abrams,0.2631578947368421,0.07894736842105263,0.0,0.0
36,Cal Raleigh,0.4166666666666667,0.14583333333333334,0.041666666666666664,0.0
37,Carson Kelly,0.2608695652173913,0.06521739130434782,0.0,0.0
